nombre,canal,geometria_ref,ancho_util_m,sonda_canal_min_m,calado_max_m,eslora_max_m,corriente_max_kt,restriccion,pagina,texto_aproximado,es_duplicado_de,contexto
Canal Pihuel,Canal Pihuel,SIN_GEOMETRIA,,,,,,,373,si,,"Canal Pihuel.- Cartas No 8100, 8300 y 8400. Separa la costa S de las islas Verdugo y Serrano —por el lado N— de la costa N de las islas Chipana, Aguayo, Lagarto y García — por el lado S—, en una exten"
Canal Islas Verdes. Acceso E,Canal Pihuel,SIN_GEOMETRIA,,,,,,,373,si,,"Canal Islas Verdes. Acceso E.- Carta No 8300. Separa la costa S de las islas Elena y Cárceles —por el lado N— de la costa N de las islas Valverde y Basilio —por el lado S—, en una extensión de poco má"
Canal Piure,Canal Piure,SIN_GEOMETRIA,,,,,,,374,no,,"Canal Piure.- Cartas No 8100, 8300 y 8400. Separa los peligros destacados al S de la isla Garrao Chico y la costa S de las islas cercanas al S de la isla García —por el lado N— de la costa N de las is"
Canal Pajalito. Acceso E,Canal Pajalito,SIN_GEOMETRIA,,,,,,,374,si,,"Canal Pajalito. Acceso E.- Cartas No 8200 y 8300. Separa la costa S de las islas Chaffers, Basilio y Valverde —por el lado N— de la costa N de las islas 0 Rojas y Pen Davis —por el lado S—, en una ext"
Canal Chipana,Canal Chipana,SIN_GEOMETRIA,,,,,,,375,si,,"Canal Chipana.- Cartas No 8300 y 8400. Separa la costa SW del islote Copihue y la isla Filomena —por el lado N— de la costa N de la isla Francisco —por el lado S—, en una extensión de unas 4 millas en"
Canal Baeza,Canal Baeza,SIN_GEOMETRIA,,,,,,,375,si,,"Canal Baeza.- Carta No 8300. Separa la costa S de la isla Jéchica —por el lado N— de la costa N de las islas Mercedes, Marta, Mazote y Matilde —por el lado S—, en una extensión de unas 7,5 millas en d"
Canal Pérez Sur,Canal Pérez Sur,SIN_GEOMETRIA,,,,,,,378,si,,"Canal Pérez Sur.- Cartas No 8300 y 8400. Separa la costa E de las islas Tahuenahuec, Carmencita, Gertrudis, Brieva, Benjamín, Jesús, Topaze, Teresa 1 y Cuneo, el islote Cervantes y las islas Galvarino"
Golfo Lobada de Quetros,Golfo Lobada de Quetros,SIN_GEOMETRIA,,,,,,,378,si,,"Golfo Lobada de Quetros.- Carta No 8300. Se forma hacia el S de las islas Mercedes, Marta y Baeza y al N de la costa NW de la isla Cuptana, frente al 0 acceso E del canal King. Es una amplia ensenada"
Canal King. Acceso E,Canal Pérez Sur,SIN_GEOMETRIA,,,,,,,378,no,,"Canal King. Acceso E.- Cartas No 8200 y 8300. Separa la costa S de las islas Level, lzaza, y Tahuenahuec y Carmencita —por el lado N— de la costa N de las islas Ipún, Stokes, Benjamín y Gertrudis — po"
Canal Bynon. Acceso E,Canal Pérez Sur,SIN_GEOMETRIA,,,,,,,380,si,,"Canal Bynon. Acceso E.- Cartas No 8200 y 8300. Separa la costa S de la isla Benjamín —por el lado N— de la costa N de la isla Jorge, las islas Lances Nuevos y la isla Jesús —por el lado S—, en una ex-"
Canal Temuán,Canal Temuán,SIN_GEOMETRIA,,,,,,,380,si,,"Canal Temuán.- Cartas No 8300 y 8400. Separa la costa S de las islas Cuptana y Sierra —por el lado N— de la costa N de la isla Tránsito —por el lado S—, en una extensión de unas 7,5 millas en direcció"
Canal Tránsito,Canal Tránsito,SIN_GEOMETRIA,,,,,,,381,si,,"Canal Tránsito.- Cartas No 8300 y 8400. Separa la costa W y S de la isla Tránsito —por el lado NE— de la costa E de las islas Soria, Florencia y Ram- 0 sés II y N de las islas Canal y Lalanca —por el"
Paso Pajal,Canal Pérez Sur,SIN_GEOMETRIA,,,,,,,384,no,,"Paso Pajal.- Carta No 8100. Separa la costa S de la isla Casa Cuero e islotes destacados al E de ella y la isla Riquelme —por el lado N— de la costa N de la isla Arthur —por el lado S—, en una extensi"
